text|source|page|chunk_id
"Practitioner Review: Emotional dysregulation in
attention-deﬁcit/hyperactivity disorder – implications
for clinical recognition and intervention
Stephen V. Faraone,1Anthony L. Rostain,2Joseph Blader,3Betsy Busch,4
Ann C. Childress,5Daniel F. Connor,6and Jeffrey H. Newcorn7
1Departments of Psychiatry, Neuroscience and Physiology, SUNY Upstate Medical University, Syracuse, NY;
2Departments of Psychiatry and Pediatrics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA;
3Department of Psychiatry, University of Texas Health Science Center at San Antonio, San Antonio, TX;
4Developmental-Behavioral Pediatrics, Chestnut Hill, MA;5Center for Psychiatry and Behavioral Medicine, Las Vegas,
NV;6Department of Psychiatry, University of Connecticut School of Medicine and Health Care, Farmington, CT;
7Department of Psychiatry and Pediatrics, Icahn School of Medicine at Mount Sinai, New York, NY, USA
Background: Because emotional symptoms are common in attention-deﬁcit/hyperactivity disorder (ADHD) patients
and associate with much morbidity, some consider it to be a core feature rather than an associated trait. Others
argue that emotional symptoms are too nonspeciﬁc for use as diagnostic criteria. This debate has been difﬁcult to
resolve due, in part, to the many terms used to describe emotional symptoms in ADHD and to concerns about overlap
with mood disorders. Methods: We sought to clarify the nature of emotional symptoms in ADHD by reviewing"|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|0|6a39139b493549ff8e048e1247d0cb24
"with mood disorders. Methods: We sought to clarify the nature of emotional symptoms in ADHD by reviewing
conceptual and measurement issues and by examining the evidence base regarding speciﬁcity of such symptoms for
ADHD. We reviewed the various terms used to deﬁne emotional symptoms in ADHD, clarify how these symptoms are
demarcated from mood disorders, and assess the possibility that symptoms of emotional impulsivity and deﬁcient
emotional self-regulation should be considered as core symptoms. We addressed psychiatric comorbidities, the
effects of ADHD treatments on associated emotional dysregulation, and the utility of current rating scales to assess
emotional symptoms associated with ADHD. Results: Emotional symptoms are common and persistent in youth and
adults with ADHD. Although emotional symptoms are common in other psychiatric disorders, emotional impulsivity
(EI), and deﬁcient emotional self-regulation (DESR) may be sufﬁciently speciﬁc for ADHD to function as diagnostic
criteria. Conclusions: Emotional symptoms in ADHD cause clinically signiﬁcant impairments. Although there is a
solid theoretical rationale for considering EI and DESR to be core symptoms of ADHD, there is no consensus about
how to deﬁne these constructs sin a manner that would be speciﬁc to the disorder. An instrument to measure EI and
DESR which demarcates them from irritability and other emotional symptoms could improve the accuracy of"|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|0|2a71bce1b84d4d178461bb61f6c2caa4
"DESR which demarcates them from irritability and other emotional symptoms could improve the accuracy of
diagnostic criteria for ADHD. Keywords: Attention-deﬁcit/hyperactivity disorder; emotional dysregulation; deﬁcient
emotional self-regulation; emotional impulsivity; comorbidity; rating scale; irritability.
Introduction
Attention-deﬁcit/hyperactivity disorder (ADHD) is a
common neurodevelopmental disorder diagnosed by
symptoms of age-inappropriate inattention, hyper-
activity, and impulsivity that cause impairment in
two or more domains of daily life (Faraone et al.,
2015). Many iterations of the DSM since DSM-III
view emotional symptoms as an associated feature
supporting the diagnosis of ADHD. In contrast, in
descriptions of the disorder prior to DSM-III, emo-
tional symptoms had a prominent role in character-
izing ADHD youth (Barkley, 2015) and such
symptoms were core criteria of the Wender Utah
Criteria for adults (Ward, Wender, & Reimherr,
1993).
Despite recognition that intense, emotionally
charged behavior was common in ADHD, DSM-III’s
framing the disorder in terms of inattention and
under inhibited behavior de-emphasized affectivedisturbances and excluded them from diagnostic
criteria. Since then, however, research has only
strengthened the association between ADHD and
emotion-related problems. Forty to 50% of children
with ADHD have signiﬁcant impairments that stem
from rages, irritability, or other manifestations of"|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|0|553bc87a53be4191ac697d82e6bdc4a0
"with ADHD have signiﬁcant impairments that stem
from rages, irritability, or other manifestations of
susceptibility to anger and low tolerance for distress
(Anastopoulos et al., 2011; Barkley, 2015; Barkley &
Fischer, 2010; Biederman et al., 2012; Karalunas
et al., 2014; Liu et al., 2016; Shaw, Stringaris, Nigg,
& Leibenluft, 2014; Skirrow & Asherson, 2013;
Sobanski et al., 2010; Spencer et al., 2011). We will
refer to these collectively as ‘emotional symptoms’.
These symptoms are more prevalent in the combined
subtype (now called ‘presentation’ in DSM-5) of
ADHD compared with other subtypes and their
severity increases with the severity of other ADHD
symptoms (Sobanski et al., 2010; Vidal et al., 2014).
Emotional symptoms are also common among
adults with ADHD (Barkley & Fischer, 2010; Skirrow
& Asherson, 2013; Surman et al., 2011, 2013).
Due to the high prevalence of emotional symptoms
among patients with ADHD along with prevailingConﬂict of interest statement: See Acknowledgements for full
disclosures.
©2018 Association for Child and Adolescent Mental Health.
Published by John Wiley & Sons Ltd, 9600 Garsington Road, Oxford OX4 2DQ, UK and 350 Main St, Malden, MA 02148, USAJournal of Child Psychology and Psychiatry **:* (2018), pp **–** doi:10.1111/jcpp.12899PFI_12mmX178mm.pdf + eps format"|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|0|7d9284724aee49928a1c92f4d101646c
"models of ADHD that emphasize the inadequacy of
self-regulatory functions, some consider emotionalsymptoms integral to ADHD, rather than an associ-ated trait (Barkley, 2015; Barkley et al., 2000; Nigg& Casey, 2005; Sagvolden, Johansen, Aase, & Rus-
sell, 2005). On the other hand, emotional symptoms
are not speciﬁc to ADHD and are present variablyamong patients with the disorder (Copeland, Brot-man, & Costello, 2015; Stringaris, Cohen, Pine, &Leibenluft, 2009), casting uncertainty on the meritsof including them as a ‘core feature’ of ADHD.
Although there is substantial debate about the
nature of emotional symptoms in ADHD and
whether they should someday be incorporated into
the diagnostic nomenclature, there is little questionabout their importance. Many studies have shownthat such symptoms have a serious impact onpatients with the disorder. In a study of 358children aged 5 –12 years with ADHD, emotional
symptoms correlated with impaired social, dailyliving, and adaptive skills and were associated with
increased rates of treatment service utilization
(Anastopoulos et al., 2011). Children with ADHDand higher levels of emotional symptoms were ratedas less likeable by unfamiliar peers in playgroups(Lee et al., 2017). Higher levels of emotionalexcitability/impatience, lack of behavioral controlwith strong emotions and inﬂexibility/slow return tobaseline associate with parent and self-rated social
impairment in adolescents. (Bunford, Evans, &"|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|1|b68e2ca1203648488658bf36f8d99ada
"impairment in adolescents. (Bunford, Evans, &
Langberg, 2018). Children with ADHD and emo-tional symptoms are more likely to have hyperac-tive/impulsive symptoms continuing into earlyadulthood as well as a lower likelihood that fullysyndromic ADHD will remit (Biederman et al.,2012). People with ADHD and emotional symptomshave signiﬁcantly lower quality of life, signiﬁcantly
worse social adjustment and reduced marital status
compared to those with ADHD and no emotionalsymptoms (Surman et al., 2013). Among peoplewith ADHD, emotional symptoms associate withunemployment, poor work performance and peerrelations, and being ﬁred or quitting work out ofboredom. Emotional symptoms associate with feweryears of schooling, decreases in the likelihood of
graduation from high school and college, and higher
rates of suspensions and expulsions from school.Patients with ADHD and emotional symptoms aremore likely to have had driver license suspensions,trafﬁc tickets and ﬁnancial problems than thosewithout emotional dysregulation (Surman et al.,2013).
Given the serious impact of emotional symptoms
on people with ADHD, the present review sought to
clarify the nature of these symptoms in ADHD. Weﬁrst review conceptual and measurement issues andexamine the evidence base regarding speciﬁcityof such symptoms for ADHD. We then evaluateimplications for both medical and psychologicaltreatments.Conceptual issues"|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|1|d2c4396ce3c44b96a0492102d65b1b43
"One challenge to understanding the role of emotionalsymptoms in ADHD is the abundance of terms usedto describe them: emotional lability (EL), emotionalreactivity, emotional impulsivity (EI), emotionalinstability, emotional dysregulation, deﬁcient emo-
tional self-regulation, distress tolerance, frustration
discomfort and irritability. Approaching this issue byconsidering the time course, or ‘affective chronome-try’ (Davidson, 1998; Thompson, 1994), of thesedifﬁculties may better specify how people with ADHDshow emotion-related impairments that differ fromothers with other conditions who show emotionalsymptoms.
Phases of emotional expression: emotion
generation and regulation
While people with ADHD are prone to rapid, unusu-
ally intense, and disproportionate emotional reac-tions, the point at which emotional regulation
processes begin is a matter of some debate (Gross
& Barrett, 2011). It seems intuitive that to regulate
something it must already exist. By extension,emotion regulation would refer to the managementof one’s current emotional state after it emerges(Barkley, 2015; Etkin, B €uchel, & Gross, 2015; Shaw
et al., 2014). However, the emergence of emotionalstates also involves regulating processes (e.g., sen-sory gating, thresholds for stimuli to activate
emotion, anticipatory appraisal and valuation)."|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|1|5209537e502344aeb83e4d7649d3befe
"emotion, anticipatory appraisal and valuation).
Therefore, factors that regulate the onset of emotioncould well include those intended to preventunwanted emotional activation in the ﬁrst place orto raise the likelihood of experiencing desired ones(e.g., selection or modiﬁcation of situations, antici-patory self-preparation, external constraints andfacilitators) (Gross & Barrett, 2011). From that
standpoint, “ ...regulatory processes are develop-
mentally incorporated into emotion itself —both neu-
robiologically and behaviorally —leading some to
conclude that ‘unregulated emotion’ in any puresense does not exist, especially when an appropri-ately-inclusive conceptualization of emotion regula-tion is used” (Thompson, 2011, p. 53).
We can reconcile different connotations of ‘regula-
tion’ by distinguishing a narrow from a broad
meaning. Current research on emotional statesfrequently differentiates emotion generation (or acti-
vation) from regulation in which the emotional state
itself becomes the focus of controlling processes(Costa et al., 2014; Esslen, Pascual-Marqui, Hell,Kochi, & Lehmann, 2004; Gross & Barrett, 2011;Lindquist, Wager, Kober, Bliss-Moreau, & Barrett,
2012; Ochsner et al., 2009; €Oner, 2018; Waugh,
Shing, & Avery, 2015). To the extent that emotiongeneration is itself a regulated process, a broadmeaning of ‘regulation’ encompasses the array offactors through which problematic emotional states"|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|1|df4a53231a1e4679a83e21bfee80178d
©2018 Association for Child and Adolescent Mental Health.2 Stephen V. Faraone et al.|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|1|94cd63acd1814de5b601c0191d48f3e7
"arise and are managed. The narrow meaning empha-
sizes this latter, management aspect. To avoid con-fusion with other usage, we will use the term emotionregulation to refer to the regulatory processes thatoccur after the generation of emotion.
A temporal model for emotional symptoms
associated with ADHD
Barkley points out that those with ADHD are prone
to difﬁculties both with emotion generation that ishighly impulsive and with the self-regulatory func-tions that effectively manage emotional experience to
rein in behavior from accelerating to problematic
degrees (Barkley, 2015). He refers to the former as EIand the latter as deﬁcient emotional self-regulation(DESR). Mirroring the broader literature on emotion,these processes are distinguishable. In this frame-work, due to weak self-regulatory processes, emo-tionally reactive behavior can reach high levels andbe abnormally prolonged even if one’s initial emotion
is not pathologically intense. For example, the degree
of anger experienced by an ADHD driver faced with atrafﬁc incident may be the same as that for a non-ADHD driver. But while the non-ADHD driver cansoothe herself with self-regulatory mechanisms, theADHD driver cannot. Although emotional symptomsin ADHD often have a negative valence (e.g., irri-tability, anger), both EI and DESR are valence-free
terms. Consider, for example, the ADHD child that"|data_input/adhd_2/Faraone 2018 Emotional Dysregulation.pdf|2|7022e49dac6040bea6547ef80dd12488
