source,target,edge,edge_type,value,color
$47.55 million,adhd,exists is same context,contextual proximity,8,#808080
"$47.55 million (hong et al., 2020)",adhd,exists is same context,contextual proximity,8,#808080
$77.5 to $115.9 billion,adolescents and young adults with adhd,exists is same context,contextual proximity,2,#808080
$77.5 to $115.9 billion,substantial impairments,exists is same context,contextual proximity,2,#808080
$77.5 to $115.9 billion,traffic accidents,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,prescription refills are coordinated with other prescribers,Mean Ratings for % of patients medicated for ADHD for whom prescription refills are coordinated with other prescribers,relation,4,#22dd22
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,transition care coordinated for vacations and other times away,Mean Ratings for % of patients with ADHD for whom transition care has been coordinated for vacations and,relation,4,#22dd22
% patients evaluated with parent vanderbilt rating scales,% patients meeting dsm criteria for adhd,"Vanderbilt rating scales are used to evaluate patients with the condition,exists is same context",relation,8,#22dd22
% patients evaluated with parent vanderbilt rating scales,% patients treated with psychostimulant medication,exists is same context,contextual proximity,2,#808080
% patients evaluated with teacher vanderbilt rating scales,% patients meeting dsm criteria for adhd,"Vanderbilt rating scales are used to evaluate patients with the condition,exists is same context",relation,8,#22dd22
% patients evaluated with teacher vanderbilt rating scales,% patients treated with psychostimulant medication,exists is same context,contextual proximity,2,#808080
% patients meeting dsm criteria for adhd,% patients evaluated with parent vanderbilt rating scales,exists is same context,contextual proximity,4,#808080
% patients meeting dsm criteria for adhd,% patients evaluated with teacher vanderbilt rating scales,exists is same context,contextual proximity,4,#808080
% patients meeting dsm criteria for adhd,% patients on medication with at least 2 follow-up visits a year in record,exists is same context,contextual proximity,4,#808080
% patients meeting dsm criteria for adhd,% patients seen within 30 days medication initiation,exists is same context,contextual proximity,4,#808080
% patients meeting dsm criteria for adhd,% patients treated with psychostimulant medication,exists is same context,contextual proximity,8,#808080
% patients meeting dsm criteria for adhd,% patients whose medical record contains documentation of dsm criteria,"documentation of DSM criteria is required to meet the condition,exists is same context",relation,8,#22dd22
% patients meeting dsm criteria for adhd,confirmation of impairment in 2+ settings,"confirmation of impairment is required to meet the condition,exists is same context",relation,8,#22dd22
% patients on medication with at least 2 follow-up visits a year in record,% patients meeting dsm criteria for adhd,exists is same context,contextual proximity,4,#808080
% patients on medication with at least 2 follow-up visits a year in record,% patients treated with psychostimulant medication,"patients who receive psychostimulant medication are required to have regular follow-up visits,exists is same context",relation,6,#22dd22
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,seen within one month of first prescription,Mean Ratings for % patients prescribed medication for ADHD seen within one month of initial prescription,relation,4,#22dd22
