node_1|node_1_type|node_2|node_2_type|edge|chunk_id
emotional dysregulation|concept|attention-deficit/hyperactivity disorder (adhd)|condition|Emotional dysregulation is a core feature of ADHD|6a39139b493549ff8e048e1247d0cb24
morbidity|concept|emotional symptoms in adhd patients|"documents|service"|Morbidity is associated with emotional symptoms in ADHD patients|6a39139b493549ff8e048e1247d0cb24
diagnostic criteria|concept|emotional symptoms in adhd|"documents|service"|Emotional symptoms are too nonspecific for use as diagnostic criteria|6a39139b493549ff8e048e1247d0cb24
mood disorders|condition|emotional symptoms in adhd|"documents|service"|There is overlap between mood disorders and emotional symptoms in ADHD|6a39139b493549ff8e048e1247d0cb24
stephen v. faraone|person|departments of psychiatry, neuroscience and physiology, suny upstate medical university, syracuse, ny|organization|Stephen V. Faraone is affiliated with Departments of Psychiatry, Neuroscience and Physiology, SUNY Upstate Medical University, Syracuse, NY|6a39139b493549ff8e048e1247d0cb24
anthony l. rostain|person|departments of psychiatry and pediatrics, university of pennsylvania perelman school of medicine, philadelphia, pa|organization|Anthony L. Rostain is affiliated with Departments of Psychiatry and Pediatrics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA|6a39139b493549ff8e048e1247d0cb24
emotional symptoms|concept|adhd|condition|are common and persistent in youth and adults with ADHD|2a71bce1b84d4d178461bb61f6c2caa4
emotional impulsivity (ei)|concept|adhd|condition|may be sufficiently specific for ADHD to function as diagnostic criteria|2a71bce1b84d4d178461bb61f6c2caa4
deﬁcient emotional self-regulation (desr)|concept|adhd|condition|may be sufficiently specific for ADHD to function as diagnostic criteria|2a71bce1b84d4d178461bb61f6c2caa4
irritability|concept|emotional symptoms|concept|are common in other psychiatric disorders|2a71bce1b84d4d178461bb61f6c2caa4
ei and desr|concept|adhd treatments|service|effects of ADHD treatments on associated emotional dysregulation|2a71bce1b84d4d178461bb61f6c2caa4
rating scales|documents|emotional symptoms|concept|utility of current rating scales to assess emotional symptoms associated with ADHD|2a71bce1b84d4d178461bb61f6c2caa4
adhd|condition|emotional symptoms|condition|ADHD is associated with emotional symptoms|553bc87a53be4191ac697d82e6bdc4a0
irritability|condition|emotional impulsivity|concept|Irritability is a manifestation of emotional impulsivity|553bc87a53be4191ac697d82e6bdc4a0
rage|condition|irritability|condition|Rage and irritability are manifestations of emotional symptoms in ADHD|553bc87a53be4191ac697d82e6bdc4a0
adhd|condition|inattention|concept|ADHD is characterized by symptoms of inattention and hyperactivity|553bc87a53be4191ac697d82e6bdc4a0
hyperactivity|concept|impulsivity|concept|Hyperactivity and impulsivity are symptoms of ADHD|553bc87a53be4191ac697d82e6bdc4a0
adhd|condition|emotional symptoms|concept|Individuals with ADHD have significant impairments that stem from emotional symptoms.|7d9284724aee49928a1c92f4d101646c
emotional symptoms|concept|combined subtype|subtype|Emotional symptoms are more prevalent in the combined subtype of ADHD compared with other subtypes.|7d9284724aee49928a1c92f4d101646c
