source,target,edge,edge_type,value,color
"#10,245,271 b2",dr. biederman,exists is same context,contextual proximity,4,#808080
"#10,245,271 b2",j.h.n.,exists is same context,contextual proximity,17,#808080
"#10,245,271 b2",m.a.b.,exists is same context,contextual proximity,5,#808080
"#10,245,271 b2",shire pharmaceuticals,exists is same context,contextual proximity,2,#808080
"#10,245,271 b2",us patent,exists is same context,contextual proximity,2,#808080
"#61/233,686",dr. biederman,exists is same context,contextual proximity,4,#808080
"#61/233,686",j.h.n.,exists is same context,contextual proximity,17,#808080
"#61/233,686",m.a.b.,exists is same context,contextual proximity,5,#808080
"#61/233,686",shire pharmaceuticals,exists is same context,contextual proximity,2,#808080
"#61/233,686",us patent,exists is same context,contextual proximity,2,#808080
"$122.5 billion ($14,092 per adult)",adhd,exists is same context,contextual proximity,2,#808080
$47.55 million,adhd,"The total annual economic burden due to ADHD was estimated to be $47.55 million.,exists is same context",relation,14,#22dd22
"1,200,000 children and young adults (ages 2 to 24 years)",adhd medications,exists is same context,contextual proximity,6,#808080
"1,200,000 children and young adults (ages 2 to 24 years)",myocardial infarction (mi),exists is same context,contextual proximity,2,#808080
"1,200,000 children and young adults (ages 2 to 24 years)",scd,"The overall rate of SCD was 1.3 per 100,000 patients per year,exists is same context",relation,8,#22dd22
"1,200,000 children and young adults (ages 2 to 24 years)",stroke,exists is same context,contextual proximity,2,#808080
15q11–15q13 region,adhd,exists is same context,contextual proximity,3,#808080
15q11–15q13 region,genome-wide association study (gwas),exists is same context,contextual proximity,3,#808080
2014cb846100,j. atten. disord.,exists is same context,contextual proximity,2,#808080
2014cb846100,y.w.,"is associated with research funding for,exists is same context",relation,7,#22dd22
2016,adhd,exists is same context,contextual proximity,2,#808080
2016,"ostergaard, s.d.",exists is same context,contextual proximity,2,#808080
2016,plos one,is associated with publication in,relation,4,#22dd22
2017,adhd,exists is same context,contextual proximity,2,#808080
2017,"ostergaard, s.d.",exists is same context,contextual proximity,2,#808080
2017,teenage parenthood and birth rates for individuals with and without attention-s.v. faraone et al.,is associated with publication in,relation,4,#22dd22
2018 association for child and adolescent mental health,affective lability scale,"copyright holder,exists is same context",relation,7,#22dd22
2018 association for child and adolescent mental health,"prada, p.",exists is same context,contextual proximity,2,#808080
