id,type,type_id
$47.55 million,other,0
"$47.55 million (hong et al., 2020)",other,0
$77.5 to $115.9 billion,documents,1
% of patients medicated for adhd ,documents,1
% patients evaluated with parent vanderbilt rating scales,service,2
% patients evaluated with teacher vanderbilt rating scales,service,2
% patients meeting dsm criteria for adhd,condition,3
% patients on medication with at least 2 follow-up visits a year in record,service,2
% patients screened using validated method to screen for adhd,documents,1
% patients seen within 30 days medication initiation,service,2
% patients stabilized on an adhd medication ,documents,1
% patients treated with psychostimulant medication,documents,1
% patients whose medical record contains documentation of dsm criteria,documents,1
% patients with adhd with documentation of impairment,other,0
1.4 million individuals,entity,4
2000 people,date,5
28 adhd experts,person,6
2–4 hours,date,5
4.4% of adults,condition,3
40-50 percent of participants met adhd criteria at any given follow-up,concept,7
48 cohorts,organization,8
5 mg orally in the morning on the first day,entity,4
5.9%,concept,7
50,date,5
504 plan,service,2
5mg and 10mg,entity,4
79 authors,person,6
a death in the family,other,0
a father or brother or sister with epilepsy,person,6
a frequent complaint among users,documents,1
a person's mother with epilepsy,person,6
abdominal pain,condition,3
ability to modulate reactivity,condition,3
abnormalities of chromosomes,other,0
abstinence is not an absolute precondition to start treatment,concept,7
abstract problem solving,concept,7
abuse,concept,7
abuse liability,concept,7
abuse of prescription drugs,entity,4
"abuse, misuse and diversion",entity,4
academic activity,service,2
academic difficulties,concept,7
academic dishonesty,entity,4
academic function,documents,1
academic integrity policies,entity,4
academic motivations,entity,4
academic outcomes,concept,7
academic performance enhancement,concept,7
academic skills,documents,1
accidental injuries,condition,3
accidental physical injuries,documents,1
accidental poisoning,condition,3
accidents,concept,7
accommodations,concept,7
accommodations for children with adhd,concept,7
accurate diagnosis,concept,7
activated emotions,condition,3
activation of mania or hypomania,condition,3
active substance use disorder,condition,3
active substance use disorder (sud),condition,3
activities,concept,7
"acupuncture, yoga, and ayurvedic therapies",concept,7
acute co-administration of alcohol and stimulants,condition,3
acute mania,entity,4
added sugar,condition,3
adderall,entity,4
adderall xr,documents,1
addiction,condition,3
additional meals or snacks,service,2
additional pharmacotherapy,documents,1
additional problems the patient may have,concept,7
address this growing public health problem,concept,7
adgrl3,entity,4
adh d medications,documents,1
adhd,condition,3
adhd -iv rating scales,documents,1
adhd aetiology,concept,7
adhd and emotional dysregulation,condition,3
adhd and its mental and somatic comorbidities,concept,7
adhd and many other psychiatric disorders,other,0
adhd biological pathways,concept,7
adhd child,person,6
adhd children,person,6
adhd clinical diagnoses,documents,1
adhd controls,condition,3
adhd criteria,condition,3
adhd diagnosis over the past three decades,concept,7
adhd europe,organization,8
adhd evidence project,organization,8
adhd experts,person,6
adhd follow-up care visit,service,2
adhd genetic liability,concept,7
adhd genetic risk,concept,7
adhd guideline ng87,documents,1
adhd guidelines,documents,1
adhd guidelines group of the association of medical scientific societies in germany,organization,8
adhd impairments,condition,3
adhd in adults,service,2
adhd in big groups of people,condition,3
adhd in females,condition,3
adhd in offspring,condition,3
adhd in older adults,documents,1
adhd in their children,condition,3
adhd inattentive type,condition,3
adhd index of the conners adult adhd rating scale,documents,1
adhd individuals,person,6
adhd investigator symptom rating scale (aisrs),concept,7
adhd lifespan course,concept,7
adhd malingering,entity,4
adhd medication,concept,7
adhd medication metabolism affect,condition,3
adhd medication use,documents,1
adhd medications (primarily stimulants),service,2
adhd molecular genetics network,organization,8
adhd network of european college of neuropsychopharmacology,organization,8
adhd outcomes,concept,7
adhd patients,entity,4
adhd patients with co-occurring sud,condition,3
adhd patients with ed but without smd,other,0
adhd pharmacotherapy,documents,1
adhd presentation,condition,3
adhd prevalence in males and females,concept,7
adhd probands,concept,7
adhd prototype,documents,1
adhd prs,concept,7
adhd quality of life,condition,3
adhd rating scales,documents,1
adhd research,service,2
adhd section of the world psychiatric association,organization,8
adhd severity,concept,7
adhd severity fluctuations,concept,7
adhd stigma,entity,4
adhd symptom and impairment severity,condition,3
adhd symptom checklists,documents,1
adhd symptom control extension,condition,3
adhd symptom or impairment scales,documents,1
adhd symptoms,concept,7
"adhd symptoms (e.g., aggression, hyperactivity)",condition,3
adhd symptoms or associated impairments,condition,3
adhd symptoms/b ehaviors,concept,7
adhd traits,condition,3
adhd trea tment,service,2
adhd treatment effectiveness,entity,4
adhd treatment first line,condition,3
adhd treatment plan,concept,7
adhd treatment response,entity,4
adhd types,concept,7
adhd-associated iq deficits,condition,3
adhd-c,condition,3
adhd-like behaviors and their associated impairments,condition,3
adhd-like symptoms,condition,3
adhd-like symptoms in children,concept,7
adhd-related brain structural differences,other,0
adhd-related cost study,documents,1
adhd-related costs,documents,1
adhd-related hospital admissions,concept,7
adhd-related phenotypes,condition,3
adhd-specific problems in daily life,condition,3
adhdevidence.org,documents,1
adhdinadults.com,documents,1
adherence,condition,3
adjunctive psychotherapy,service,2
adjust the timing of the dose,other,0
adjusted odds ratio,documents,1
adjusting the dose or timing may help,other,0
adjustment,concept,7
administer the stimulant with meals to lessen its impact on appetite,service,2
administration of stimulants in conjunction with alcohol use,condition,3
adolescence,other,0
adolescents and young adults with adhd,person,6
adolescents with adhd,entity,4
adult,person,6
adult adhd quality measures initiative (aaqmi),concept,7
adult adhd quality of life survey,documents,1
adult adhd self-report scale,other,0
adult adhd symptoms,condition,3
"adults (11 studies, 2909 participants)",date,5
"adults (cortese et al., 2018a)",date,5
adults treated with viloxazine,entity,4
adults unresponsive to mph trial,person,6
adults with adhd symptoms before age 12,other,0
advanced paternal age,other,0
advancing age,condition,3
adverse,condition,3
adverse effects,documents,1
adverse medical outcomes,concept,7
adverse outcomes,other,0
adverse outcomes later in life,other,0
adverse side effects of atomoxetine,condition,3
adverse side effects of guanfacine,condition,3
adzenys xr -odt,other,0
aerobic activity,service,2
aerobic exercise,service,2
affective components of executive control,concept,7
affective lability scale –short form (als-18) ,documents,1
affective reactivity,entity,4
affective reactivity index (ari),documents,1
affordable care act,other,0
african-american students,entity,4
age,concept,7
age 25,date,5
age and adhd diagnosis,concept,7
age at diagnosis,date,5
age at menopause,concept,7
age at onset,concept,7
age at onset variation,concept,7
age at which adhd criteria were met,date,5
age groups (years),entity,4
age of first birth,documents,1
aggression,condition,3
aggression and emotionaldysregulation,condition,3
aggressive behavior or hostility,other,0
agitation,condition,3
ahrq,organization,8
"ahrq, medicare and medicaid",organization,8
air pollutants,other,0
"air pollutants (nitrogen dioxide, sulphur dioxide, and particulate matter)",documents,1
air pollution,condition,3
alcohol,entity,4
alcohol and/or drug use,concept,7
alcohol use disorder,condition,3
alcohol use disorder: treatment overview,documents,1
alcohol-use disorders,condition,3
alcohol/drug use policies,entity,4
alexander crichton,person,6
"all age groups (youths 21 studies with 3812 participants, adults 11 studies with 3377 participants)",date,5
all-cause death,condition,3
all-cause treatment discontinuation,documents,1
allergic reactions,entity,4
allergic rhinitis,condition,3
alliance,organization,8
alpha agonists,documents,1
alpha agonists (clonidine and guanfacine),documents,1
alpha-2 adrenergic agonists (clonidine),entity,4
alpha-2 adrenergic agonists (guanfacine),entity,4
alpha-2-adrenergic agonists,concept,7
alumni fellow status at the university of iowa,other,0
amblyopia,condition,3
amblyopia (lazy eye),documents,1
american academy of child and adolescent psychiatry adhd resource center,organization,8
american academy of pediatricians,organization,8
american professional society of adhd and related disorders,organization,8
american psychopathological association,organization,8
americans with disabilities act,documents,1
amp,documents,1
amp abuse,condition,3
amphetamine,service,2
amphetamine derivatives,concept,7
amphetamine formulations,documents,1
amphetamine medication,service,2
amphetamine side effects,condition,3
amphetamine stimulants,concept,7
amygdala,location,10
analysis,documents,1
anger experienced by an adhd driver,condition,3
ankk1,entity,4
ankylosing spondylitis,documents,1
annual national costs,documents,1
anorexia,condition,3
antacids,documents,1
antecedents of behaviour,concept,7
anthony l. rostain,person,6
anti-infective agents,documents,1
anticipatory appraisal and valuation,concept,7
antidepressant,documents,1
antipsychotics,concept,7
antisocial behaviour,condition,3
antisocial personality disorder (aspd),condition,3
anxiety,condition,3
anxiety and substance use disorders,concept,7
anxiety disorder,entity,4
anxiety or depression,other,0
anxiety or tics,condition,3
any interpretation should keep in mind that the ratings are of relative importance,other,0
appetite suppression,condition,3
apsard,organization,8
apten sio xr,concept,7
"arbor pharmaceuticals, llc",organization,8
arithmetic,concept,7
arrested,documents,1
